customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure
1,Laraine,Medendorp,Female,93,12/10/53,Executive Secretary,Health,3,N,1,11
2,Eli,Bockman,Male,81,16/12/80,Administrative Officer,Financial Services,3,N,1,16
3,Arlin,Dearle,Male,61,20/01/54,Recruiting Manager,Property,3,N,1,15
4,Talbot,,Male,33,03/10/61,Recruiting Manager,IT,3,N,0,7
5,Sheila-kathryn,Calton,Female,56,13/05/77,Senior Editor,IT,2,N,1,8
6,Curr,Duckhouse,Male,35,16/09/66,Senior Editor,Retail,1,N,1,13
7,Fina,Merali,Female,6,23/02/76,Senior Editor,Financial Services,2,N,1,11
8,Rod,Inder,Male,31,30/03/62,Media Manager I,Financial Services,3,N,0,7
9,Mala,Lind,Female,97,10/03/73,Business Systems Development Analyst,Argiculture,2,N,1,8
10,Fiorenze,Birdall,Female,49,11/10/88,Senior Quality Engineer,Financial Services,3,N,1,20
11,Uriah,Bisatt,Male,99,30/04/54,Senior Quality Engineer,Property,3,N,0,9
12,Sawyere,Flattman,Male,58,21/07/94,Nuclear Power Engineer,Manufacturing,3,N,0,8
13,Gabriele,Norcross,Male,38,15/02/55,Developer I,Financial Services,1,N,1,8
14,Rayshell,Kitteman,Female,85,25/03/83,Account Executive,Financial Services,2,N,0,6
15,Erroll,Radage,Male,91,13/07/00,Junior Executive,Manufacturing,3,N,0,1
16,Harlin,Parr,Male,38,27/02/77,Media Manager IV,Manufacturing,3,N,1,18
17,Heath,Faraday,Male,57,19/03/62,Sales Associate,Manufacturing,2,N,1,15
18,Marjie,Neasham,Female,79,06/07/67,Professor,Manufacturing,2,N,0,11
19,Sorcha,Keyson,Female,76,15/04/01,Geological Engineer,Manufacturing,1,N,0,1
20,Basile,Firth,Male,72,13/08/80,Project Manager,Manufacturing,3,N,0,11
21,Mile,Cammocke,Male,74,20/09/80,Safety Technician I,Manufacturing,2,N,1,16
22,Deeanne,Durtnell,Female,79,10/12/62,Safety Technician I,IT,3,N,0,11
23,Olav,Polak,Male,43,10/02/95,Safety Technician I,IT,1,N,1,1
24,Kim,Skpsey,Female,55,03/12/77,Research Assistant I,Argiculture,3,N,1,15
25,Geoff,Assaf,Male,72,02/12/76,Accounting Assistant III,Financial Services,3,N,1,21
26,Trixi,Ginnelly,Female,12,10/06/78,Editor,Financial Services,3,N,1,16
27,Garvin,Klees,Male,37,25/09/78,Research Nurse,Health,3,N,1,12
28,Fee,Zellmer,Male,5,30/09/73,Senior Quality Engineer,Health,2,N,1,21
29,Mona,Sancraft,Female,62,22/06/68,Safety Technician III,Manufacturing,3,N,0,19
30,Darrick,Helleckas,Male,18,18/10/61,Safety Technician III,IT,2,N,1,6
31,Star,Praton,Female,3,24/11/62,Staff Accountant III,Telecommunications,1,N,1,14
